taxonomySpecies, diameterSide, diameterCross, proportionN, proportionH, proportionB, proportionQ, countPrimaryRibs, countSecondaryRibs, ribDivisionRatio, comment, overwriteImage, imageFilePath
Taramelliceras (T.) compsum, 6.3, , 14, 53, , 1.97, , , , Schlegelmilch, false,
Taramelliceras (T.) compsum, 14.5, , 14, 50, , 2.3, , , , Schlegelmilch, false,
Taramelliceras (T.) compsum, 9.0, , , 50, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (T.) compsum, 10.0, , 13, 49, , 2.2, , , , Schlegelmilch, false,
Taramelliceras (T.) pseudoflexuosum, 5.8, , 12.5, 55, , 1.58, , , , Schlegelmilch, false,
Taramelliceras (T.) pseudoflexuosum, 7.0, , 13, 53, , 1.76, , , , Schlegelmilch, false,
Taramelliceras (T.) klettgovianum, 5.8, , 14, 53, , 1.94, , , , Schlegelmilch, false,
Taramelliceras (T.) klettgovianum, 5.3, , 13, 53, , 1.87, , , , Schlegelmilch, false,
Taramelliceras (T.) kiderleni, 3.3, , 15, 50, , 1.52, , 34, , Schlegelmilch, false,
Taramelliceras (T.) rebuletianum, 4.6, , 14, 51, , 1.96, , , , Schlegelmilch, false,
Taramelliceras (T.) rebuletianum, 4.5, , 12, 55, , 2.17, , , , Schlegelmilch, false,
Taramelliceras (T.) rebuletianum, 5.3, , 14, 48, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (M.) litocerum, 3.0, , 13, 59, , 2.4, 13, , , Schlegelmilch, false,
Taramelliceras (M.) litocerum, 1.5, , 21, 49, , , , , , Schlegelmilch, false,
Taramelliceras (M.) litocerum, 2.0, , 19, 53, , , , , , Schlegelmilch, false,
Taramelliceras (M.) litocerum, 3.2, , 14, 56, , , 26, , , Schlegelmilch, false
Taramelliceras (M.) wenzeli, 3.0, , 17, 52, , 1.6, 15, , , Schlegelmilch, false
Taramelliceras (M.) wenzeli, 1.7, , 18, 50, , , 7, , , Schlegelmilch, false
Taramelliceras (M.) wenzeli, 3.0, , 19, 52, , , 11, , , Schlegelmilch, false
Taramelliceras (M.) wenzeli, 3.5, , 17.5, 53, , , 9, , , Schlegelmilch, false
Taramelliceras (M.?) kobyi, 3.0, , 18, 53, , 1.6, , , , Schlegelmilch, false,
Taramelliceras (M.?) kobyi, 6.0, , 10, 57, , 2.06, , , , Schlegelmilch, false,
Taramelliceras (M.?) kobyi, 7.2, , 10, 56, , 2.15, , , , Schlegelmilch, false,
Taramelliceras (M.?) kobyi, 11.0, , 11, 54, , 1.76, , , , Schlegelmilch, false,
Taramelliceras (M.?) kobyi quenstedti, 8.6, , 10, 57, , 1.8, , , , Schlegelmilch, false,
Taramelliceras (M.?) kobyi quenstedti, 6.0, , 14, 56, , , 22, 98 , , Schlegelmilch, false,
Taramelliceras (M.) falcula, 2.8, , 24, 44, , 1.7, , , , Schlegelmilch, false,
Taramelliceras (M.) falcula, 3.1, , 24, 45, , 1.8, , , , Schlegelmilch, false,
Taramelliceras (M.) falcula, 3.5, , 25, 45, , 1.77, , , , Schlegelmilch, false,
Taramelliceras (M.) subnereus, 3.3, , 18, 52, , 1.75, 18, , , Schlegelmilch, false,
Taramelliceras (M.) subnereus, 4.9, , 13, 57, , 1.75, , , , Schlegelmilch, false,
Taramelliceras (M.) subnereus, 4, , 15, 53, , 1.6, 30, 96, , Schlegelmilch, false,
Taramelliceras (M.) semibarbarum, 4.8, , 33, 40, , 1.58, , , , Schlegelmilch, false,
Taramelliceras (M.) semibarbarum, 4.3, , 30, 40, , 1.7, , , , Schlegelmilch, false,
Taramelliceras (M.) strombecki, 5.3, , 23, 49, , 1.73, , , , Schlegelmilch, false,
Taramelliceras (M.) strombecki, 6.8, , 23, 46, , 1.55, , , , Schlegelmilch, false,
Taramelliceras (M.) strombecki, 6.5, , 25, 45, , 1.76, , , , Schlegelmilch, false,
Taramelliceras (M.) strombecki, 8.5, , 26, 44, , 1.54, , , , Schlegelmilch, false,
Taramelliceras (M.) nodosiusculum, 6.6, , 23, 47, , 1.57, 18, , , Schlegelmilch, false,
Taramelliceras (M.) nodosiusculum, 7.6, , 24, 46, , 1.35, , , , Schlegelmilch, false,
Taramelliceras (M.) nodosiusculum, 9.0, , , 47, , 1.56, , , , Schlegelmilch, false,
Taramelliceras (M.) nodosiusculum, 10.9, , 20, 51, , 1.66, , , , Schlegelmilch, false,
Taramelliceras (M.) subsidens, 4.1, , 19, 51, , 1.82, 31, , , Schlegelmilch, false,
Taramelliceras (M.) subsidens, 2.4, , 20, 46, , , , , , Schlegelmilch, false,
Taramelliceras (M.) subsidens, 3.3, , 20, 48, , , , , , Schlegelmilch, false,
Taramelliceras (F.) prolithographicum, 5.1, , 21, 48, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (F.) prolithographicum, 2.5, , 20, 51, , , , , , Schlegelmilch, false,
Taramelliceras (F.) prolithographicum, 7.3, , 16.5, 50, , 2.0, , , , Schlegelmilch, false,
Taramelliceras (H.) nobile, 8.9, , 37, 36, , 1.2, 17, , , "Schlegelmilch, 17 knobs", false,
Taramelliceras (H.) nobile, 5.3, , 32, 40, , 1.62, , , , Schlegelmilch, false,
Taramelliceras (H.) nobile, 6.7, , 31, 42, , 1.4, 18, , , "Schlegelmilch, 18 knobs", false,
Taramelliceras (H.) pugile, 5, , 22, 48, , 1.87, , , , Schlegelmilch, false,
Taramelliceras (H.) pugile, 9, , 18, 49, , , 24, , , "Schlegelmilch, 24 knobs", false,
Taramelliceras (H.) pugile, 10.9, , 23, 44, , 1.6, 20, , , "Schlegelmilch, 20 knobs", false,
Taramelliceras (H.) multinodum, 3.4, , 16, 50, , 2.2, , , , Schlegelmilch, false,
Taramelliceras (H.) multinodum, 3.2, , 20, 48, , 1.6, , , , Schlegelmilch, false,
Taramelliceras (O.) fischeri, 4.5, , 16, 51, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (O.) fischeri, 5.9, , 17, 51, , , , , , Schlegelmilch, false,
Taramelliceras (O.) fischeri, 4.6, , 14, 53, , 2.4, , , , Schlegelmilch, false,
Taramelliceras (O.) pseudopolitulum, 4.7, , 20, 47, , 2.0, , , , Schlegelmilch, false,
Taramelliceras (O.) crassum, 5.7, , 19, 48, , 1.7, , , , Schlegelmilch, false,
Taramelliceras (O.) wepferi, 4.2, , 19, 50, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (O.) wepferi, 6.4, , 22, 45, , 2.1, , , , Schlegelmilch, false,
Taramelliceras (O.) undulatum, 4.0, , 13, 54, , 2.4, , , , Schlegelmilch, false,
Taramelliceras (O.) undulatum, 4.4, , 11, 55, , 2.7, , , , Schlegelmilch, false,
Flexisplinites langi, 1.5, , 10, 60, , 1.12, , , , Schlegelmilch, false,
Flexisplinites langi, 1.0, , 57, 10, , 1.23, , , , Schlegelmilch, false,
Barthelia alba, 1.4, , 8, 51, , 1.1, , , , Schlegelmilch, false,
